"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI"
"2321";"42001013020P0";"MEDICINA I";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"4";0,396825396825397;0,342857142857143;0,47995522995523;0,535606060606061;0,438810957560958
"2322";"42001013023P9";"FARMÁCIA";"FEDERAL";"PÚBLICA";1970;"ACADÊMICO";"7";0,390804597701149;0,154761904761905;0,455233134920635;0,477439024390244;0,369559665443483
"2323";"42001013025P1";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"5";0,411347517730496;0,284722222222222;0,665367965367965;0,4375;0,449734426330171
"2324";"42001013026P8";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"FEDERAL";"PÚBLICA";1970;"ACADÊMICO";"6";0,592592592592593;0,28;0,485641998734978;0,395833333333333;0,438516981165226
"2325";"42001013030P5";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";1969;"ACADÊMICO";"5";0,320987654320988;0,121212121212121;0,413186813186813;0,433602150537634;0,322247184814389
"2326";"42001013031P1";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"6";0,243386243386243;0,160621761658031;0,470277149321267;0,371111111111111;0,311349066369163
"2327";"42001013032P8";"FILOSOFIA";"FEDERAL";"PÚBLICA";1981;"ACADÊMICO";"6";0,245614035087719;0,333333333333333;0,460846560846561;0,35;0,347448482316903
"2328";"42001013033P4";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"FEDERAL";"PÚBLICA";1973;"ACADÊMICO";"5";0,462962962962963;0,333333333333333;0,514710144927536;0,431818181818182;0,435706155760504
"2329";"42001013034P0";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";1979;"ACADÊMICO";"7";0,518518518518518;0,368421052631579;0,450556124480856;0,406060606060606;0,43588907542289
"2330";"42001013035P7";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1965;"ACADÊMICO";"5";0,363636363636364;0,211538461538462;0,324374495560936;0,440229885057471;0,334944801448308
"2331";"42001013036P3";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";1965;"ACADÊMICO";"6";0,254901960784314;0,157142857142857;0,45578231292517;0,409166666666667;0,319248449379752
"2332";"42001013037P0";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1965;"ACADÊMICO";"6";0,333333333333333;0,395348837209302;0,290833333333333;0,386764705882353;0,35157005243958
"2333";"42001013039P2";"MEDICINA I";"FEDERAL";"PÚBLICA";1985;"ACADÊMICO";"6";0,315789473684211;0,246753246753247;0,476207286737614;0,584722222222222;0,405868057349323
"2334";"42001013042P3";"DIREITO";"FEDERAL";"PÚBLICA";1985;"ACADÊMICO";"5";0,252873563218391;0,163179916317992;0,48977879481312;0,439460784313725;0,336323264665807
"2335";"42001013043P0";"HISTÓRIA";"FEDERAL";"PÚBLICA";1986;"ACADÊMICO";"6";0,202380952380952;0,162790697674419;0,423386524822695;0,394285714285714;0,295710972290945
"2336";"42001013044P6";"ARTES / MÚSICA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"7";0,458333333333333;0,214285714285714;0,454192546583851;0,468421052631579;0,398808161708619
"2337";"42001013046P9";"ENGENHARIAS III";"FEDERAL";"PÚBLICA";1986;"ACADÊMICO";"6";0,3125;0,229885057471264;0,436298468556533;0,46047619047619;0,359789929125997
"2338";"42001013047P5";"PSICOLOGIA";"FEDERAL";"PÚBLICA";1988;"ACADÊMICO";"7";0,348484848484848;0,171875;0,462186122292505;0,366666666666667;0,337303159361005
